"","data3.warstds","predictors.fl","predictors.ch","predictors.hs","predictors.rf"
"1",0,0.0290214764589453,0.00880444209178101,0.00805313566946666,0.732196589769308
"2",0,0.0134315779456735,0.0694971736440867,0.0320857195772056,0.494979919678715
"3",0,0.0141812793674134,0.00553809279557328,0.105468544499269,0.792338709677419
"4",0,0.00959313566354561,0.00064971477417944,0.00301287608046486,0.152917505030181
"5",1,0.00895862338364195,0.00227983708217717,0.000295039287318684,0.253279515640767
"6",0,0.0154536691688163,0.0168951007032548,0.000913885644815202,0.352705410821643
"7",1,0.00173194648092286,0.00168201925024899,0.0130858048698203,0.224674022066199
"8",0,0.00713927428016167,0.00847106458494886,0.000558815565909529,0.0684793554884189
"9",1,0.0338088955100827,0.0484876509298644,0.00376264924997048,0.808808808808809
"10",0,0.00769429643725422,0.0633650692216439,0.00398453108719471,0.793969849246231
"11",1,0.0199636851834428,0.00709072431987325,0.0197319135381337,0.518072289156627
"12",0,0.00576965503476726,0.00133065415350339,0.0277011581798988,0.359516616314199
"13",0,0.00886194329094822,0.00419332156502749,0.0231450310433513,0.599799398194584
"14",0,0.027099179201375,0.00626171679456311,0.012699156656505,0.344344344344344
"15",0,0.00497322375837352,0.00696142994173964,0.00671334894970243,0.246740220661986
"16",0,0.00355043659004587,0.0124633740748196,0.00623854598571389,0.0934673366834171
"17",0,0.0265102556664537,0.1259889962354,0.0223381439681122,0.198795180722892
"18",0,0.00679298904781327,0.0114173523287688,0.0624781422989064,0.153
"19",0,0.0043690359902045,0.0153305819431303,0.0453167631227761,0.0824120603015075
"20",0,0.00347835504949392,0.0528265675717383,0.00232574257641409,0.90990990990991
"21",0,0.0289266071774672,2.22044604925031e-16,0.111877057183059,0.360160965794769
"22",1,0.0421471948393324,0.00848331374085402,0.0144376804015003,0.12964824120603
"23",0,0.0665187171519372,0.00286867008831649,0.0054448346075219,0.0750750750750751
"24",0,0.00710233288500297,0.0233351194308953,0.00038903487649982,0.215075376884422
"25",0,0.0119253119498966,0.00362780655720178,0.00805314479439129,0.112676056338028
"26",0,0.00659199973430313,0.00523441359103643,0.0150112772883975,0.357287449392713
"27",0,0.0307421282273942,0.00287612388580606,0.0234764837617107,0.0836693548387097
"28",0,0.0242405491337208,0.0221358249526462,0.0070400088405574,0.175226586102719
"29",0,0.00647146925945983,0.0673517437243756,0.0483576396440423,0.0321931589537223
"30",1,0.00427238600930858,0.00487014235468155,0.000386054156739619,0.522796352583587
"31",0,0.00345057382729585,0.0038341387346377,0.0324751708798401,0.054380664652568
"32",0,0.0378027042420944,0.0213287307348679,0.0103056654464989,0.745490981963928
"33",0,0.00911841847382777,0.00276224340009407,0.016440474627436,0.0774647887323944
"34",0,0.0024732953362092,0.0201937782856921,0.000415581426648898,0.308926780341023
"35",0,0.00298794449805957,0.0473683064428627,0.000266908866131904,0.593781344032096
"36",0,0.00631133017318627,0.00879299356437993,0.00951827913707662,0.0562814070351759
"37",1,0.0067675928466681,0.0440570123025783,0.0102873659724339,0.868076535750252
"38",0,0.00454301625234584,0.00640536341574702,0.012162622872021,0.224899598393574
"39",0,0.0141045637802131,0.00669678758229396,0.0173144751008162,0.826305220883534
"40",1,0.0126120078583694,0.0254519508720348,0.000324359223193732,0.940822467402207
"41",0,0.0307665949390911,0.00866569935254136,0.0184098138036266,0.47289156626506
"42",0,0.0262277467946706,4.77358779213905e-07,0.0156298320905345,0.829637096774194
"43",0,0.0150239765211305,0.00776814036774039,0.00467619717574521,0.069
"44",0,0.00292878043874719,0.00636704577188959,0.00608049403541924,0.170682730923695
"45",0,0.120685263781904,0.0102472626739411,0.000655904240712363,0.130391173520562
"46",1,0.0173106978465496,0.000317513814679821,0.000236896011617386,0.555778894472362
"47",0,0.0216441196277092,0.00511337875451011,0.0690234903878903,0.659979939819458
"48",1,0.00310868500323668,0.01063468276957,0.0310967660011145,0.742971887550201
"49",0,0.0365705598569586,0.00205361891104638,0.0460900189321831,0.16566265060241
"50",0,0.00581625268014041,0.0252404031603705,0.0805546840663958,0.211480362537764
"51",0,0.0313452901377092,0.00257621847580195,0.000483982790139966,0.0601202404809619
"52",0,0.0322789195527976,0.0216190133634907,0.0224697321182979,0.161646586345382
"53",0,0.0213093037266776,0.0153306512321988,0.0169808483439376,0.0403225806451613
"54",0,0.018262303256846,0.177987521620443,0.00799049921321204,0.75250501002004
"55",0,0.00619865081452976,0.00200564880125875,0.0285320563754047,0.698492462311558
"56",0,0.0097513960089991,0.00439848757668451,0.000534237575563793,0.599198396793587
"57",0,0.0038058601529143,0.0267952355691056,0.00376191600757023,0.518555667001003
