,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
61,2006,0,4837.1201,4685.73,903.8092249,2,0.3394,0.0091285,1.684,78.13794
62,2007,0,5039.25,4743.8501,917.5932881,2,0.3394,0.0091285,3.373,68.85041
63,2008,0,5179.52,4770.1401,1107.473628,2,0.3394,0.0091285,2.36,75.40405
64,2009,0,5255,4797.8198,603.7106875,2,0.3394,0.0091285,1.632,91.61072
65,2010,0,5395.8999,4861.48,704.5273984,2,0.3394,0.0091285,3.616,95.39151
66,2011,0,5402.1699,4765.54,1302.625728,2,0.3394,0.0091285,2.828,97.60729
67,2012,0,9670.255346,9442.508738,1319.751274,2,0.3394,0.0091285,4.828927495,58.4743799
68,2013,0,9569.30563,9348.825493,1305.871116,-2.343190181,-0.195738236,0.418921515,4.82173028,58.24547838
69,2014,0,9662.733582,9438.58032,1314.928823,-2.384459664,-0.176844576,0.418324165,4.825270089,58.41031795
70,2002,0,2256.8101,2447.8401,569.5549058,-4,0.874726,0.6642361,4.582,38.87034
71,2001,0,598.31,659.46002,0,5,0.82951,0.7916332,0.396,11.93412
72,2002,0,596,646.45001,0,5,0.82951,0.7916332,0.268,12.02713
73,2006,0,598.37,579.64001,0,-1,0.82951,0.7916332,4.771,57.483518
74,2009,0,657.02002,599.85999,0,-1,0.82951,0.7916332,1.709,14.03683
75,2010,0,668.69,602.46002,0,-1,0.82951,0.7916332,3.047,57.56401307
76,2011,0,690.03998,608.71997,1243.798709,-1,0.82951,0.7916332,3.301,18.17666
77,2012,0,9475.869995,9259.620592,1284.757606,-1,0.82951,0.7916332,4.113,17.79189
78,2013,0,9620.179377,9396.711011,1308.752354,-2.388978759,-0.181854555,0.418150419,4.826456588,58.42908491
79,2002,0,1445.58,1567.9399,-21.74385153,-2.243250909,0.820424,0.7551077,-1.574,57.79514455
80,2003,0,1391.28,1477.96,-9.542326206,-2.259709531,0.820424,0.7551077,-1.677,57.99319059
81,2004,0,1330.24,1374.41,-30.32682935,-2.206853805,0.820424,0.7551077,1.58,57.81983987
82,2011,0,1354.29,1194.6899,1272.7742,4,0.820424,0.7551077,-4.726,57.73885987
83,2001,0,184.42,203.27,3.685415574,-2.261521084,0.874726,0.702141,-2.1,57.33838852
84,2006,0,267.19,258.82999,7.025722122,5,0.874726,0.702141,5.321,57.54472009
85,2007,0,277.01001,260.76999,6.668482994,5,0.874726,0.702141,4.819877326,36.16753
86,2008,0,267.97,246.78999,5.744041728,5,0.874726,0.702141,4.823684446,38.97374
87,2012,0,9557.256642,9335.252896,1292.035099,5,0.874726,0.702141,4.817528856,43.33979
88,2013,1,6097.786712,6141.640065,778.6262919,-10.42523752,-2.109047694,0.430307071,4.707993677,45.55822033
89,2014,0,9582.715401,9361.016845,1302.494148,-2.268065976,-0.171562803,0.418637974,4.830269128,58.21936916
90,2007,0,547.91998,515.79999,0,6,0.651762,0.2012649,3.166,11.14075
91,2008,0,579.27002,533.47998,0,6,0.651762,0.2012649,9.65,11.53381
92,2001,1,428.67999,472.5,0,-30.52387899,0.295144,0.5158263,1.665,9.74574
93,2002,0,434.94,471.75,0,-2.296451965,0.295144,0.5158263,2.354,10.11006
94,2003,0,458.64001,487.22,0,-2.366242588,0.295144,0.5158263,2.47,10.27421
95,2004,0,486.17001,502.32001,0,-2.344323443,0.295144,0.5158263,3.767,11.70398
96,2005,0,476.87,476.87,0,6,0.295144,0.5158263,4.371,12.76582
97,2006,0,488.07999,472.81,0,6,0.295144,0.5158263,5.414,13.98038
98,2008,0,625.75,576.28998,0,6,0.295144,0.5158263,4.907,57.54191427
99,2001,0,842.97998,929.13,0,-2,0.862016,0.6410788,11.658,12.51878
100,2002,0,871.40002,945.15997,0,-2,0.862016,0.6410788,8.491,13.42041
101,2003,0,1019.21,1082.71,0,-2,0.862016,0.6410788,14.722,14.80461
102,2005,0,1548.71,1548.71,312.4686763,-2,0.862016,0.6410788,7.935,15.69609
103,2006,1,1658.8199,1606.9,327.1860199,-2,0.862016,0.6410788,0.648,16.12828
104,2007,0,1690.87,1591.75,295.395463,-2,0.862016,0.6410788,3.271,18.61768
105,2008,0,1581.84,1456.8199,327.7872519,-2,0.862016,0.6410788,3.053,21.1287
106,2009,0,1799.25,1642.72,197.7879913,-2,0.862016,0.6410788,4.217,23.25621
107,2010,0,1910.51,1721.29,256.6020424,-2,0.862016,0.6410788,13.551,22.90933
108,2001,1,636.54999,701.60999,0,-27.76277611,0.769344585,0.2716839,4.245801014,12.77722
109,2002,0,789.76001,856.60999,0,-2.293737256,0.769344585,0.2716839,4.8139399,57.46359261
110,2003,0,870.20001,924.40997,0,-2.33130883,0.769344585,0.2716839,8.444,13.18077
111,2004,0,917.46997,947.94,0,-2.384299903,0.769344585,0.2716839,0.671,18.44838
112,2005,1,1048.96,1048.96,0,-23.84115778,0.769344585,0.2716839,11.83,19.44068
113,2006,0,1128.5699,1093.24,0,-2.228952139,0.769344585,0.2716839,5.361,29.14918
114,2007,0,1268.63,1194.27,0,-2.215710163,0.769344585,0.2716839,13.34,28.99123
115,2008,0,1305.77,1202.5699,0,-2.280949897,0.769344585,0.2716839,3.863,38.37213
116,2009,0,1290.65,1178.36,0,-2.297372001,0.769344585,0.2716839,20.585,44.23704
117,2010,0,1281.62,1154.6801,0,-2.210356742,0.769344585,0.2716839,8.438,50.1815
118,2011,0,1282.64,1131.48,1266.703569,-2.192778394,0.769344585,0.2716839,6.479,51.77018
119,2012,0,9670.672011,9446.959107,1314.672675,-2.239245403,0.769344585,0.2716839,4.811986525,54.03824
120,2013,0,9667.852692,9444.624148,1318.230017,-2.395955243,-0.191415993,0.418427431,4.824098228,58.52232454
121,2014,0,9681.907993,9459.780727,1320.187929,-2.294851181,-0.173647821,0.418677872,4.822413146,58.24009277
122,2001,0,24853.699,27393.939,1318.534009,-2.328523145,0.713946,0.2325685,4.819816845,58.47291982
123,2002,0,26094.26,28303.029,1330.26304,-2.350953168,0.713946,0.2325685,4.836018802,58.4006194
124,2003,0,25134.039,26700,1306.728731,-2.371421415,0.713946,0.2325685,4.830874037,58.26353728
125,2004,0,25177.26,26013.33,1340.275989,-2.299874243,0.713946,0.2325685,4.832224567,58.82687416
126,2005,0,25772.15,25772.15,1305.341509,-2.318678968,0.713946,0.2325685,4.824885861,58.29398055
127,2006,0,27369.119,26512.5,1315.243118,-2.29477514,0.713946,0.2325685,4.830457088,58.34839321
128,2007,0,29665.83,27926.83,1326.012061,-2.307423359,0.713946,0.2325685,4.826202989,58.55622908
129,2008,0,31243.18,28773.811,1327.876019,-2.309003376,0.713946,0.2325685,4.834602201,58.48330447
130,2009,0,29572.83,27000,1327.248291,-2.292952252,0.713946,0.2325685,4.823494736,58.64372043
131,2010,0,31482.84,28364.711,1337.989285,-2.333813346,0.713946,0.2325685,4.827669725,58.69172074
132,2011,0,32367.33,28552.939,1326.692017,-2.361893586,0.713946,0.2325685,4.830673072,58.52101543
133,2012,0,9647.358161,9422.430227,1311.789201,-2.348597426,0.713946,0.2325685,4.831161241,58.45437977
134,2013,0,9644.862117,9422.066013,1317.267378,-2.323904674,-0.175864708,0.418304103,4.825999114,58.27805355
135,2014,0,9582.260366,9358.916626,1300.930239,-2.319229067,-0.187174601,0.418462217,4.820988314,58.36996962
136,2001,0,15770.07,17381.891,-2842.03661,-8,0.50213,0.5528251,2.491,99.86678
137,2002,0,17063.391,18507.73,-2736.187093,-7,0.50213,0.5528251,3.349,93.16437
138,2003,0,20818.859,22115.971,-2886.335573,-7,0.50213,0.5528251,6.296,92.35424
139,2004,0,22983.721,23746.949,-3788.452804,-7,0.50213,0.5528251,6.981,93.81382
140,2005,0,28254.5,28254.5,-5266.598414,-7,0.50213,0.5528251,6.769,95.24601
141,2006,0,30473.25,29519.48,-6291.159128,-7,0.50213,0.5528251,6.469,95.52589
142,2007,0,28300.619,26641.65,-6615.842723,-7,0.50213,0.5528251,8.292,58.35366493
143,2008,0,25228.859,23234.85,-7760.660272,-7,0.50213,0.5528251,6.237,92.03623
144,2009,0,25007.34,22831.711,-3424.399259,-7,0.50213,0.5528251,2.545,93.55883
145,2010,0,24798.01,22341.961,-4085.10697,-5,0.50213,0.5528251,4.337,96.43667
146,2011,0,22498.48,19847.109,1345.961529,-8,0.50213,0.5528251,2.1,103.65631
147,2012,0,9640.622043,9418.542846,1314.518078,-10,0.50213,0.5528251,3.4,95.51475
148,2013,0,9632.855787,9409.844639,1314.317867,-2.341549215,-0.168317953,0.417745802,4.820092745,58.33017018
149,2014,0,9604.779151,9381.062806,1306.592212,-2.38042881,-0.183812037,0.418073448,4.828552168,58.36256601
150,2001,0,8254.0098,9097.6396,0,8,0.410248,0.5986193,0.25,74.19078
151,2002,0,9487,10290.03,0,8,0.410248,0.5986193,6.07,74.90799
152,2003,0,8738.5195,9282.9697,0,8,0.410248,0.5986193,4.625,75.41431
153,2004,0,9242.2803,9549.1904,0,8,0.410248,0.5986193,2.705,76.26083
154,2005,0,8812.1396,8812.1396,0,8,0.410248,0.5986193,4.558,76.92083
155,2006,0,10070.89,9755.6904,0,8,0.410248,0.5986193,7.959,78.45031
156,2007,0,10689.01,10062.43,0,8,0.410248,0.5986193,8.682,79.74525
157,2008,0,12935.19,11912.83,0,8,0.410248,0.5986193,3.901,81.70265
158,2009,0,10883.16,9936.3301,0,8,0.410248,0.5986193,-7.84,58.21385272
