,country,year,warstds,atwards,anoc,ager,autonomy,avgnabo,dem,dlang,drace,drel,durable,ef,gdpgrowth,illiteracy,infant,inst,inst3,life,lmtnest,milper,nat_war,ncontig,nwstate,oil,plural,plurrel,pol4,pol4sq,popdense,relfrac,seceduc,second,sxpnew,sxpsq,tnatwar,trade,warhist,xconst,lpopns,ln_gdpen,numlang,proxregc,partfree,decade1,regd4_alt,etdo4590,geo1,presi,parreg,geo34
1,Afghanistan,1945,0,0,-0.29689613,41.11817457,-0.04078579,0.165014448,0.256447416,70,0,20,21.15282121,0.750796974,0.000323548,100.3100801,223.2227525,1.610883435,0.22735149,34.40673654,4.198705196,281.0616742,0.796373595,0,0,0.078025584,0.379999995,84,-7.039513661,74.14538775,-70.66271441,0.271800011,-5.670805618,0.252999991,0.021605762,-0.034878593,0.931769404,23.73815156,0.133157333,2.61829345,16.09411049,-0.976449831,8,0.155177462,-0.011532389,0.689987061,0.662441372,1,0,0.266680025,3.143969559,0
2,Afghanistan,1946,0,0,0,61.90375785,0,0.045051701,0,70,0,20,0,0.750796974,0.073937917,91.70302294,204.3801193,0,0,32.20860183,4.198705196,-132.6139358,1,0,0,0,0.379999995,84,-10,100,142.6997062,0.271800011,-8.233127642,0.252999991,0.141851691,-0.023869001,1,71.93041097,-0.21939903,1,16.11629486,-1.639897108,8,1,0.357711409,0.605857131,-3,1,0,-0.435851394,4,0
3,Afghanistan,1947,0,0,0,77,0,0.030034499,0,70,0,20,0,0.750796974,0.011387393,95.87544533,258.4269846,0,0,24.19096946,4.198705196,-256.6618771,1,0,0,0,0.379999995,84,-10,100,42.06802516,0.271800011,-36.95715534,0.252999991,0.104872942,0.041616329,2,28.77765534,0.240485779,1,16.13829041,-1.629640698,8,1,-0.4946179,1.123519867,-3,1,0,0.007605553,4,0
4,Afghanistan,1948,0,0,0,78,0,0.0225258,0,70,0,20,0,0.750796974,0.027261444,113.1875055,256.6160874,0,0,25.900184,4.198705196,-112.3765992,1,0,0,0,0.379999995,84,-10,100,173.9824608,0.271800011,-18.05819168,0.252999991,0.058659437,0.014725618,2,14.03478569,-0.178071069,1,16.25253868,-1.639897108,8,1,-0.297355808,0.307422017,-3.5,1,0,0.008011716,4,0
5,Afghanistan,1949,0,0,0,79,0,0.0225258,0,70,0,20,0,0.750796974,0.099944348,97.02996282,227.3874311,0,0,28.90576476,4.198705196,-38.80114717,1,0,0,0,0.379999995,84,-10,100,346.3875933,0.271800011,-16.55390707,0.252999991,-0.003050022,-0.098641227,2,-6.445011466,-0.284342129,1,16.27064514,-1.398366928,8,1,-0.094493175,0.813616474,2,1,0,-0.263656435,4,0
6,Afghanistan,1950,0,0,0,80,0,0.0225258,0,70,0,20,0,0.750796974,0.0167235,107.0681894,248.4288568,0,0,27.5132772,4.198705196,293.753476,1,0,0,0,0.379999995,84,-10,100,149.4360116,0.271800011,-22.93200756,0.252999991,0.076942635,-0.052872292,2,57.00750912,0.038887886,1,16.28614998,-1.671313405,8,1,-0.822990041,1.05806371,-0.5,1,0,0.06547035,4,0
7,Afghanistan,1951,0,0,0,81,0,0.0225258,0,70,0,20,50,0.750796974,0.061738796,115.4004493,220.0650062,0,0,32.67138793,4.198705196,185.7240875,1,0,0,0,0.379999995,84,-10,100,243.0737696,0.271800011,-2.980342228,0.252999991,-0.005722157,-0.08963874,2,33.5375844,-0.250351568,1,16.29899979,-1.551169038,8,7.89E-31,-0.098874417,-0.300080332,0,1,0,-0.027720655,4,0
8,Afghanistan,1952,0,0,0,82,0,0.0225258,0,70,0,20,51,0.750796974,-0.125220056,119.2799735,261.9650567,0,0,28.40047364,4.198705196,312.9443226,1,0,0,0,0.379999995,84,-10,100,32.50062041,0.271800011,-2.099916522,0.252999991,0.007338455,-0.006491024,1,46.69471276,-0.223106968,1,16.3118515,-1.509592533,8,1.97E-31,-0.45785829,0.560791159,0,1,0,0.070882261,4,0
9,Afghanistan,1953,0,0,0,83,0,0.0225258,0,70,0,20,52,0.750796974,0.05322275,101.0094095,227.3113242,0,0,34.79424756,4.198705196,103.7989778,0,0,0,0,0.379999995,84,-10,100,-133.351642,0.271800011,6.102693901,0.252999991,0.138468443,0.047726343,0,9.827171672,0.179070131,1,16.32502937,-1.518683553,8,4.93E-32,-0.414875687,0.431950904,2.5,1,0,0.204081192,4,0
10,Afghanistan,1954,0,0,0,84,0,0,0,70,0,20,53,0.750796974,-0.027463644,99.53105875,228.6856006,0,0,33.97455518,4.198705196,22.62562276,0,0,0,0,0.379999995,84,-10,100,158.4850301,0.271800011,-11.76678124,0.252999991,0.020703633,-0.049573943,0,44.50684969,-0.506976057,1,16.33883667,-1.262308359,8,1.23E-32,0.337921974,0.359930845,0,1,0,0.008777136,4,0
