"pay_attn_pol_cont","int_follow_campg","anything_like_dem_cand","anything_like_rep_cand","approve_congr","things_right_track","feel_dem_cand_cont","feel_rep_cand_cont","how_many_live_hh_cont","better_1y_ago_cont","has_hinsur","favor_aca","afraid_dem_cand","disgust_dem_cand","afraid_rep_cand","disgust_rep_cand","lib_con_scale_cont","incgap_morethan_20y_ago","economy_improved","unempl_improved","speaksmind_dem_cand","speaksmind_rep_cand","soc_spend_favor_cont","def_spend_favor_cont","private_hi_favor_cont","shoud_hard_buy_gun","favor_affirmaction","govt_benefit_all","all_ingovt_corrup","election_makegovt_payattn","global_warming_happen","favor_death_penalty","econ_better_since_2008","relig_important","age_cont","married","schooling_cont","latinx","white","black","both_parents_bornUS","any_grandparent_foreign","rent_home","has_unexp_passap","should_roughup_protestors","justified_useviolence","consider_self_feminist","ppl_easily_offended_nowadays","soc_media_learn_pres","satisfied_life","intvote_beforeelec_2016","vote_pres_2012","vote_pres_2016","swing_2016","swing_2016_2012"
2,1,1,1,1,1,70,30,0,0,1,1,-1,-2,1,-1,2,1,-1,1,1,2,1,1,0,1,-1,0,-1,0,1,0,0,1,61,0,14,0,1,0,1,0,0,1,-1,-2,0,1,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,1,0,0,15,85,2,0,1,-1,-1,-2,-1,-2,-2,1,0,0,-1,1,-2,1,2,0,-1,0,0,0,1,0,-1,1,55,1,11,0,1,0,1,1,0,1,1,-2,0,1,0,0,"Trump","Romney","Trump",0,0
0,0,1,0,0,1,85,15,2,1,1,1,-2,-2,-2,1,2,1,1,1,-1,2,0,-1,-2,1,0,1,-1,1,1,1,1,0,35,1,16,0,1,0,1,0,0,1,-1,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
-1,1,1,0,0,1,85,0,0,1,1,1,-2,-2,2,2,2,1,1,1,2,2,1,0,0,1,0,1,-1,0,1,1,1,1,52,0,13,0,1,0,1,0,0,0,-2,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,85,0,1,-1,1,0,-1,-1,1,1,0,1,1,-1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,76,0,10,0,0,1,1,1,1,0,-2,-2,0,1,0,0,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,0,60,15,2,2,1,1,0,-2,1,2,2,1,1,0,1,1,2,1,-2,1,0,0,0,0,1,1,1,0,36,0,13,1,0,0,0,1,1,1,-2,-1,1,0,1,2,"Clinton","Obama","Clinton",0,0
-1,0,1,0,1,0,85,0,1,1,1,1,-1,0,2,-1,0,-1,1,1,2,2,2,1,0,1,0,0,0,0,1,1,0,1,78,0,9,0,0,1,1,0,1,1,1,-1,1,1,0,0,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,0,60,0,1,-2,1,-1,-2,-1,2,2,0,1,0,1,0,2,1,0,-2,0,-1,0,2,-1,1,0,-1,1,55,1,9,0,1,0,1,0,0,0,0,-2,0,0,0,0,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,60,15,0,0,1,1,-2,-2,2,0,0,1,0,0,0,-2,-3,-3,-3,1,1,0,0,0,0,1,0,1,69,0,13,1,1,0,0,1,1,1,1,2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,0,40,0,1,0,1,1,-2,-1,0,1,2,1,1,1,0,2,1,1,-2,1,-1,0,-1,0,1,0,1,1,68,1,14,0,1,0,1,1,0,1,-1,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,1,0,1,1,0,15,85,0,0,1,-1,1,-1,-1,-1,-2,1,0,0,0,1,2,3,3,1,1,0,1,0,1,0,-1,1,82,0,9,0,1,0,1,0,0,1,1,-2,0,1,0,0,"Trump","Romney","Trump",0,0
2,1,1,0,0,1,90,0,5,2,0,1,-2,-2,-2,1,2,1,1,1,0,2,2,0,-3,1,-1,0,-1,0,1,0,1,1,30,1,10,0,1,0,1,0,1,1,0,-2,0,1,1,2,"Clinton","Obama","Clinton",0,0
-1,1,0,1,1,0,0,40,1,1,1,0,1,1,-1,-1,-1,1,0,-1,-2,2,-1,2,1,0,-1,0,1,0,0,0,-1,1,23,1,13,0,1,0,1,0,0,1,-1,-2,1,1,1,1,"Trump","Romney","Trump",0,0
1,1,1,0,1,1,85,0,2,2,1,1,-2,-2,2,2,2,1,1,1,1,0,1,1,0,1,0,1,-1,1,1,1,1,0,36,1,13,0,1,0,1,0,0,0,-2,-1,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,85,0,5,0,1,1,-2,-2,-2,1,1,1,1,1,0,2,0,1,-1,1,-1,0,1,1,1,0,1,1,47,1,13,0,1,0,1,0,0,0,-1,-2,1,1,1,1,"Clinton","Obama","Clinton",0,0
-1,0,0,1,1,0,40,70,0,0,1,1,-1,-1,-1,-1,3,0,0,0,-1,1,0,0,0,0,1,1,1,-1,0,0,-1,1,83,0,3,0,1,0,0,0,1,0,1,2,1,0,0,-1,"Trump","Obama","Trump",0,1
1,0,0,1,0,0,15,70,2,-2,1,-1,-1,0,-1,-1,0,1,-1,0,-1,2,0,3,1,1,0,0,0,0,1,0,-1,1,58,1,10,0,1,0,1,0,0,1,0,-2,0,1,1,0,"Trump","Obama","Trump",0,1
-1,0,1,0,0,0,70,15,0,2,0,1,-1,-1,1,1,0,1,-1,1,-1,2,0,-2,-2,1,1,0,-1,0,0,1,1,0,30,0,9,1,1,0,0,1,1,1,0,-2,0,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,70,1,-1,1,-1,2,2,-1,-1,0,1,-1,-1,-2,1,0,3,0,1,-1,0,2,-1,1,0,-1,1,75,0,9,0,1,0,1,0,0,0,0,-2,1,1,0,-2,"Trump","Obama","Trump",0,1
-1,0,0,1,0,0,0,70,1,-1,1,0,1,2,-2,-1,0,1,0,-1,0,1,0,0,3,-1,-1,0,1,1,1,0,0,0,50,1,9,0,1,0,0,1,0,0,2,0,0,1,1,0,"Trump","Romney","Trump",0,0
-1,-1,0,1,0,0,15,40,2,1,1,-1,1,-1,0,0,0,1,-1,1,-2,-1,0,1,1,0,-1,0,1,-1,1,0,1,0,33,1,9,0,0,0,1,0,1,0,-1,-2,0,1,1,2,"Johnson","Romney","Johnson",0,1
2,1,1,0,0,1,85,0,4,0,1,1,-2,-2,2,1,2,1,-1,1,0,1,2,-3,-3,1,1,0,0,0,1,1,0,0,33,1,13,0,1,0,1,0,0,1,-1,-2,1,1,0,1,"Clinton","Obama","Clinton",0,0
1,0,0,1,1,0,15,60,1,-1,1,-1,-2,0,-2,-2,-2,1,-1,-1,-2,1,-1,0,0,0,0,0,-1,-1,1,1,0,1,57,1,10,0,1,0,1,0,0,0,-2,-2,0,0,1,0,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,100,2,2,1,-1,2,2,-2,-2,-1,1,1,1,-2,2,0,0,1,0,-1,0,1,-1,1,0,1,1,38,1,9,1,0,0,0,1,1,1,2,0,0,1,1,2,"Trump","Romney","Trump",0,0
1,1,1,0,0,0,85,40,0,0,1,1,-1,-1,2,1,0,1,-1,1,1,2,0,1,0,1,-1,0,0,0,1,0,0,1,75,0,9,0,1,0,1,0,0,0,-1,-2,0,0,0,0,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,30,30,2,-2,1,1,-2,1,-1,-1,0,1,0,0,-2,2,1,-2,-3,1,1,0,0,-1,1,1,1,0,43,1,13,0,1,0,1,1,0,1,-2,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,0,0,1,0,0,0,60,1,1,1,1,1,1,-1,0,-1,0,-1,1,-1,2,-3,3,-2,0,-1,0,0,0,1,0,0,1,57,0,9,0,1,0,1,0,0,0,2,-2,1,1,1,2,"Trump","Romney","Trump",0,0
1,1,1,0,0,0,70,0,1,1,1,1,-2,0,1,2,2,1,1,1,1,2,0,-2,-3,1,0,0,0,0,1,0,1,0,59,0,14,0,1,0,0,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
-1,-1,1,0,1,0,85,0,1,0,1,1,0,1,-1,0,-1,-1,-1,1,1,1,0,0,3,0,1,1,0,1,1,0,0,0,86,1,4,0,1,0,1,1,1,0,0,-2,0,1,0,0,"Clinton","Obama","Clinton",0,0
-1,1,1,0,0,0,70,30,0,0,1,1,-2,-2,-2,1,2,1,1,1,-1,-1,0,-3,1,1,1,0,0,1,1,0,1,1,68,1,9,0,0,1,1,0,0,1,-2,-2,0,0,0,1,"Clinton","Obama","Clinton",0,0
0,1,1,0,0,1,70,15,1,-1,1,1,-2,-2,1,1,2,1,1,1,1,1,0,0,-1,0,0,0,-1,0,1,1,1,0,69,1,13,0,1,0,1,1,0,0,-2,-2,1,1,0,0,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,0,100,0,0,1,-1,2,2,-2,-2,0,1,0,0,-2,2,0,2,0,0,-1,0,1,-1,1,0,-1,1,62,0,10,0,1,0,1,1,1,1,0,-2,0,1,1,0,"Trump","Obama","Trump",0,1
0,1,1,1,0,1,15,70,4,0,0,-1,1,1,0,-1,0,1,-1,-1,1,2,-1,1,3,0,-1,0,0,-1,0,0,0,1,25,0,11,0,1,0,1,0,0,0,-2,-2,0,1,1,-2,"Trump","Romney","Johnson",1,1
2,1,0,1,0,0,0,60,0,0,1,-1,1,2,-2,-1,-2,1,0,0,-2,2,-1,1,1,0,-1,0,0,0,1,0,-1,0,55,0,11,1,0,0,1,1,1,0,-1,-2,0,1,0,0,"Trump","Romney","Trump",0,0
1,1,1,0,0,1,85,15,1,2,1,1,-2,-2,2,1,2,0,1,1,1,2,1,0,1,1,1,0,0,-1,1,1,1,1,76,1,14,0,1,0,1,1,0,1,-1,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,70,0,0,0,1,1,-2,-1,2,2,3,1,1,1,1,1,2,-1,-3,1,1,1,-1,0,1,1,1,0,31,0,13,0,1,0,1,0,0,1,-2,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,0,1,1,0,1,60,0,2,-1,1,1,-1,-2,1,1,2,1,1,-1,-1,1,1,-1,-2,0,1,0,0,1,1,1,1,0,35,1,13,1,1,0,0,1,1,1,-2,-2,1,1,1,1,"Clinton","Obama","Clinton",0,0
-1,-1,0,0,1,1,85,50,5,1,1,0,-2,-2,-1,-1,-2,1,1,1,0,1,0,1,1,1,-1,0,-1,0,1,0,0,1,25,1,9,0,0,1,1,1,0,0,0,0,0,1,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,1,1,60,15,0,0,1,1,-2,-1,1,1,0,1,-1,1,-1,2,1,0,-1,1,1,1,-1,1,1,1,1,1,52,0,14,0,1,0,1,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,0,70,0,2,1,1,1,-2,-1,2,2,0,-1,-1,-1,2,1,0,0,0,1,1,0,-1,0,1,0,0,0,65,1,10,0,1,0,1,1,0,0,0,-2,0,1,0,-1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,70,3,0,1,-1,2,1,-2,-2,-1,0,-1,1,-2,2,0,1,2,0,-1,0,1,-1,0,0,-1,1,45,1,13,0,1,0,1,0,1,0,1,0,1,1,1,1,"Trump","Romney","Trump",0,0
-1,1,1,0,0,0,70,0,3,1,1,1,-2,-2,1,1,2,1,1,1,1,2,2,0,-2,1,1,1,0,1,1,1,1,0,37,1,14,0,1,0,1,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
-1,1,1,0,1,1,85,0,0,1,1,1,-2,-2,1,-2,0,1,-1,1,2,-2,0,2,-2,-1,0,1,1,0,1,1,1,1,66,0,9,0,1,0,0,1,0,0,-2,-2,0,1,1,2,"Clinton","Obama","Clinton",0,0
-1,-1,0,1,0,0,15,85,0,-1,1,-1,-1,0,-2,-2,-2,0,0,0,-1,1,-2,2,2,-1,-1,0,1,0,0,1,-1,1,74,0,13,0,1,0,1,0,0,1,1,-2,1,1,0,1,"Trump","Romney","Trump",0,0
1,1,1,0,1,1,100,50,3,1,1,1,-2,-2,1,1,0,1,-1,0,2,2,-3,-2,-1,0,1,1,0,1,1,1,0,1,57,0,9,0,0,1,0,0,1,1,2,-2,0,1,0,0,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,0,40,60,4,2,1,-1,-2,-2,-2,-1,1,1,1,0,0,2,1,2,-2,1,-1,0,0,0,0,1,1,0,43,0,13,0,1,0,1,0,0,0,0,-2,0,1,0,0,"Trump","Obama","Trump",0,1
0,1,0,1,0,0,50,100,1,1,1,1,0,0,-2,-1,0,0,0,-1,0,0,0,2,0,0,1,0,-1,0,1,0,0,1,87,1,9,0,1,0,1,1,0,0,1,-2,1,1,0,1,"Trump","Obama","Trump",0,1
2,1,0,1,0,0,0,70,2,0,1,-1,1,1,-2,-1,-2,1,-1,-1,-1,2,-2,1,1,0,-1,1,-1,1,1,0,-1,0,56,1,12,0,1,0,1,0,0,0,-1,-2,0,1,0,-1,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,25,75,0,0,1,-1,1,2,-2,-1,-3,1,-1,0,2,2,3,3,2,0,-1,0,1,1,1,0,-1,1,78,0,7,0,1,0,1,0,0,0,2,-2,1,1,0,2,"Trump","Romney","Trump",0,0
2,1,0,1,1,0,0,40,1,0,1,-1,2,2,-2,-1,-3,1,-1,0,-2,2,-3,1,3,1,1,0,0,-1,1,0,-1,1,63,1,12,0,1,0,1,0,0,1,-2,-2,0,1,1,2,"Trump","Romney","Trump",0,0
1,1,1,1,0,0,40,40,0,-2,1,-1,-1,-2,-1,-2,0,1,-1,-1,1,2,-2,1,1,0,0,0,-1,-1,1,0,0,1,64,0,13,0,1,0,1,0,0,0,0,-2,0,0,1,0,"Trump","Romney","Trump",0,0
2,1,1,0,0,0,60,0,4,0,1,-1,-2,-2,-1,1,-2,0,1,1,1,1,-1,1,1,0,0,0,-1,0,1,0,1,0,24,0,14,0,1,0,1,1,0,1,-1,-2,0,1,1,1,"Clinton","Romney","Clinton",0,1
1,1,1,0,0,1,70,30,4,-1,1,1,-2,-2,1,0,0,1,1,1,0,1,0,3,-3,1,1,0,-1,1,1,1,1,1,50,1,9,0,0,1,0,1,1,1,2,-2,0,1,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,100,0,0,1,1,1,-2,-2,2,2,3,1,1,1,0,1,2,-1,-1,1,1,1,-1,1,1,1,1,0,76,0,14,0,1,0,1,1,0,0,-2,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
-1,-1,0,0,1,0,0,0,0,-1,1,1,2,2,2,2,-2,1,0,-1,0,2,-1,1,-1,1,-1,0,0,0,1,0,0,1,67,0,11,0,1,0,1,0,0,0,-2,-2,0,1,1,1,"Johnson","Romney","Johnson",0,1
1,1,1,0,0,1,85,0,1,1,1,1,-2,-2,-1,1,3,1,-1,1,0,2,2,-1,0,1,0,0,-1,1,1,1,1,0,35,0,14,0,0,0,0,1,1,1,-2,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
1,0,0,1,0,0,15,70,1,0,1,-1,-1,1,-2,-1,-1,1,0,0,-1,2,-1,2,1,0,-1,0,0,1,0,0,-1,0,61,1,10,0,1,0,1,0,0,0,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
0,1,1,0,0,0,50,0,0,-1,1,0,0,0,2,2,2,1,1,1,-1,1,2,-3,-3,1,1,0,1,0,1,1,1,0,25,0,13,0,1,0,1,0,1,1,-2,-2,1,0,1,-1,"Clinton","Obama","Clinton",0,0
0,0,0,1,0,0,0,85,1,0,1,1,1,2,-1,-1,1,1,1,1,0,1,0,2,-2,0,0,0,0,1,1,0,0,1,67,1,12,0,1,0,1,1,0,1,1,0,0,1,0,1,"Trump","Obama","Trump",0,1
-1,0,0,1,0,0,0,30,1,0,1,-1,1,1,0,0,0,1,0,0,1,2,-1,2,2,1,-1,0,0,1,1,1,-1,1,68,1,14,0,1,0,1,0,0,1,0,0,1,0,1,2,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,70,2,-1,1,-1,2,2,-1,-1,-3,1,0,0,-2,2,-1,2,1,0,-1,0,0,1,1,0,-1,1,62,1,11,0,1,0,1,1,1,1,2,-1,0,1,1,0,"Trump","Romney","Trump",0,0
1,1,0,1,0,0,30,70,1,0,1,-1,-2,1,-2,-1,-2,1,-1,-1,0,2,-1,1,1,1,-1,1,-1,0,0,1,0,1,69,1,14,0,1,0,1,1,0,1,-1,-2,1,1,1,1,"Trump","Romney","Trump",0,0
-1,0,0,1,0,0,0,60,0,0,1,-1,2,1,0,0,-2,0,-1,-1,2,2,0,1,2,0,0,0,1,-1,0,0,-1,1,85,0,14,0,1,0,1,0,0,1,1,-2,0,1,0,1,"Trump","Romney","Trump",0,0
1,1,1,0,0,1,70,15,2,0,1,1,-2,-2,1,1,2,1,1,1,1,1,1,-2,-2,1,1,0,-1,-1,1,1,1,0,54,1,14,0,1,0,1,1,0,1,-2,-2,1,0,0,2,"Clinton","Obama","Clinton",0,0
0,0,0,1,0,0,30,40,3,1,1,-1,0,0,-1,1,0,1,-1,-1,-1,2,0,0,0,0,-1,0,0,0,1,0,1,1,60,1,13,0,1,0,1,0,0,1,-2,-2,1,1,1,0,"Johnson","Romney","Clinton",1,1
0,0,0,0,1,0,40,15,3,0,1,0,-2,-1,-1,0,-1,1,0,-1,1,2,-1,0,1,1,-1,0,0,0,1,0,0,1,40,1,12,0,1,0,1,0,0,0,-1,-2,1,0,1,2,"Clinton","Romney","Clinton",0,1
-1,0,1,0,1,0,100,0,2,0,1,1,-2,-2,1,2,0,0,-1,-1,2,-1,0,1,-1,1,0,1,0,1,0,1,0,0,24,0,13,0,0,1,1,0,0,0,0,-2,0,1,1,0,"Clinton","Obama","Clinton",0,0
-1,-1,0,1,0,0,15,50,1,0,1,-1,1,1,-1,-1,0,1,-1,1,0,2,-3,3,0,1,0,0,1,0,1,0,0,1,61,1,9,0,1,0,1,0,0,1,-2,-2,0,1,0,0,"Trump","Romney","Trump",0,0
1,1,1,1,0,1,70,40,0,2,1,1,-2,-1,2,1,0,1,1,1,2,2,1,1,0,1,1,0,-1,1,1,0,1,1,51,0,14,1,1,0,1,0,0,0,1,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,100,0,1,1,1,1,-2,-2,1,1,1,1,1,1,2,2,0,1,0,1,1,1,-1,1,1,1,1,1,63,1,10,1,1,0,0,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,100,0,0,1,1,1,-2,-2,2,2,2,1,1,1,1,2,1,-2,-1,1,-1,0,0,0,1,1,1,0,25,0,13,0,1,0,1,0,1,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,1,0,40,0,2,-1,1,1,-1,0,2,2,2,1,-1,0,0,2,0,0,-2,1,0,0,0,0,1,0,0,1,60,1,14,0,1,0,1,0,0,1,0,-2,1,1,0,1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,70,1,0,1,-1,1,1,0,1,-1,1,-1,-1,0,2,0,0,3,0,-1,0,0,0,1,0,0,1,62,1,9,0,1,0,1,0,0,1,-2,-2,0,1,0,1,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,85,0,2,1,-1,1,1,-1,-1,-2,0,1,1,0,1,-3,2,3,0,-1,0,0,1,0,0,-1,1,80,1,9,0,1,0,1,0,0,0,-2,-2,0,1,0,-2,"Trump","Romney","Trump",0,0
-1,0,0,0,1,0,60,0,2,1,1,1,-2,-2,0,1,0,1,-1,-1,-1,2,1,0,-3,1,0,1,0,0,1,0,0,0,26,0,12,0,0,1,1,0,1,1,0,-2,0,0,1,0,"Clinton","Obama","Clinton",0,0
1,0,0,1,1,0,50,100,1,-1,1,1,2,1,-2,-2,0,1,0,0,-2,2,1,2,-1,-1,-1,0,0,0,1,0,0,1,38,1,9,0,1,0,1,0,0,0,1,-1,0,0,0,0,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,70,1,0,1,-1,0,2,-2,-2,-3,1,0,0,-2,1,0,2,3,0,-1,0,0,0,0,0,-1,1,59,1,12,0,1,0,1,1,0,0,2,-2,0,1,1,2,"Trump","Romney","Trump",0,0
1,1,1,0,0,1,70,15,1,1,1,0,-1,-2,2,2,0,1,1,1,-1,1,0,-1,-1,1,1,0,-1,1,1,1,1,0,26,0,14,1,0,0,0,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,0,85,1,0,1,-1,0,1,-2,-2,-2,1,-1,-1,-2,2,-2,2,2,0,-1,0,0,0,1,0,0,1,59,1,9,0,1,0,1,0,0,0,0,-2,0,1,0,0,"Trump","Romney","Trump",0,0
0,0,0,1,0,0,60,60,0,-1,1,0,-2,-1,-1,-2,0,1,0,-1,1,1,-1,-1,-2,0,0,0,1,-1,0,0,-1,1,77,0,6,0,1,0,1,1,0,0,2,-2,0,1,0,1,"Clinton","Obama","Trump",1,1
2,1,1,0,0,1,100,0,1,1,1,1,-2,-2,2,2,1,0,1,1,0,-2,1,1,-3,1,1,1,-1,1,1,1,1,1,78,1,9,0,1,0,1,0,0,0,0,-2,1,0,0,2,"Clinton","Obama","Clinton",0,0
